name_id,name,examples_user_response_1,examples_user_response_2,examples_user_response_3,examples_user_response_4,examples_user_response_5,example_chatbot_response_1
discomfort_with_the_topic,Discomfort with the Topic,I don't want to talk about death or cemeteries right now.,This is too depressing to discuss.,I'm not comfortable talking about this subject.,Can we talk about something else?,This conversation is making me uncomfortable.,"I completely understand; it's a sensitive topic for many. However, discussing preplanning now can relieve stress for your loved ones later. It's about making things easier for your family during a difficult time."
belief_that_its_not_necessary,Belief that it's Not Necessary,I don't think we need to plan ahead; we can deal with it later.,Why do we need to plan for this now?,It's not urgent; we have time.,This isn't something we need to worry about yet.,We'll cross that bridge when we come to it.,"I see, however, many families find that having a plan in place can help avoid confusion and disputes when the time comes. It's about ensuring your wishes are honored and providing peace of mind for your family."
financial_concerns,Financial Concerns,I can't afford to think about this right now.,Money is tight right now.,We're on a budget and can't afford this.,This isn't in our financial plan.,We have other expenses to worry about first.,"I understand that budget is a concern for many. Preplanning can actually help lock in prices, pay payments over time, and save money in the long run. We can discuss options that fit various budgets to ensure you find a plan that works for you."
feeling_overwhelmed_by_choices,Feeling Overwhelmed by Choices,There are too many options; I can't deal with this right now.,This is too complicated for me to decide.,I don't know where to start with all these choices.,It's overwhelming to think about all the decisions.,There are just too many things to consider.,"It can certainly feel overwhelming, which is why I'm here to help guide you through the process. We can take it step by step and focus on what's most important for you and your family."
lack_of_time,Lack of Time,I'm too busy to talk about this right now.,I don't have time for this conversation.,Can we do this another time?,I'm in a hurry right now.,This isn't a good time for me.,I completely understand; life can get hectic. Even a brief conversation can help you gather information for when you have more time.
trust_issues_with_cold_calls,Trust Issues with Cold Calls,I don't trust unsolicited calls.,I don't trust such calls?,I'm suspicious of companies that call out of the blue.,Why are you calling me?,I don't give out information to random callers.,"That's a valid concern, and many people feel the same way. I'm not here to pressure you; I simply want to provide information that might be helpful for you and your family."
perception_of_insensitivity,Perception of Insensitivity,This feels too morbid; it's not something I want to discuss.,This is too dark of a topic.,Why are you bringing this up?,This conversation is too depressing.,I don't want to think about such sad things.,I understand how it might feel that way. My goal is to provide support and information that can help you make informed decisions. It's about caring for your loved ones and ensuring they know your wishes.
cant_afford_it,Can't Afford It,I can't afford it.,This is too expensive for us.,We don't have the money for this.,It's not in our budget.,We can't afford these services.,"I understand that finances can be tight. Preplanning doesn't have to be a huge upfront expense. We can explore flexible payment options or different plans that fit your budget, allowing you to secure your wishes without financial strain."
have_to_talk_to_my_family_first,Have to Talk to My Family First,I need to talk to my family first.,Let me discuss this with my spouse.,I should check with my children first.,My family needs to be involved in this decision.,I can't make this decision alone.,"That makes perfect sense! It's important to have everyone on the same page. I can provide you with some information to share with them, or we can set up a time for a group conversation that includes your family if that would be helpful."
youre_too_expensive,You're Too Expensive,Your services are too expensive.,This costs too much.,We can't afford your prices.,This is more than we want to spend.,Your rates are too high for us.,"I understand that cost is a major factor. Our services come with various options that can fit different budgets. It's also worth noting that preplanning can lock in prices and prevent future costs from rising, which can ultimately save you money."
already_have_arrangements,Already Have Arrangements,We already have arrangements.,This is already taken care of.,We've already planned for this.,Our arrangements are already made.,We don't need this; we're already set.,"That's good to hear! It's always a good idea to be prepared. Sometimes, it can be beneficial to revisit plans as wishes and circumstances can change."
we_dont_know_what_to_get_yet,We Don't Know What to Get Yet,We don't know what to get yet.,We're not sure what we want.,We need more time to decide.,We haven't made up our minds yet.,We're still figuring out our preferences.,That's completely understandable; it can be a lot to think about. I can help guide you through the options and provide information that might make it easier to decide based on your preferences and values.
i_have_life_insurance,I Have Life Insurance,I have life insurance.,We already have insurance coverage.,Our life insurance will cover this.,We're covered with our insurance policy.,We have insurance for this situation.,"That's excellent to have! Life insurance is a great financial tool. However, it typically doesn't cover specific arrangements like burial or cremation costs directly. Preplanning ensures that your wishes for those services are clearly documented and can help alleviate financial burden on your family."
were_too_young,We're/I am Too Young,We're/I'm too young to plan for this.,I'm/We're too young to be thinking about this.,We/I have plenty of time.,We're/I'm not old enough to worry about this yet.,This is something to think about when we're/I am older.,"I understand; it can feel like a long way off. However, preplanning is about preparedness and ensuring your wishes are known. It can provide peace of mind, knowing that you have taken steps to help your loved ones in the future, regardless of age."
ill_have_my_kids_take_care_of_it_when_i_die,I'll Have My Kids Take Care of It When I Die,I'll have my kids take care of it when I die.,My children will handle this when the time comes.,We'll let our kids decide what to do.,Our family will figure it out later.,The kids can deal with this when I'm gone.,"That's a common thought, but it can place a significant emotional and financial burden on your children during a difficult time. Preplanning allows you to make your wishes clear and ensures that they won't have to guess what you would have wanted."
what_are_your_prices,What Are Your Prices?,What are your prices?,How much does this cost?,What do you charge?,What are your rates?,How expensive is this?,"I understand that cost is a major factor. Our services come with various options that can fit different budgets. It's also worth noting that preplanning can lock in prices and prevent future costs from rising, which can ultimately save you money."
not_interested,Not Interested,No thank you.,I'm not interested.,I'm not sure.,We're not interested right now.,I'll pass on this.,"I understand, and I appreciate your time. Many people initially feel that way, but having a plan in place can actually help avoid confusion and provide peace of mind for your family when they need it most. It's really about ensuring your wishes are honored and making things easier for your loved ones during a difficult time."
